ACS,KpR,DpR,ApR,KAST,ADR,HS,FK,FD,W/L
1091,201,175,72,369,721,135,26,27,1
962,175,201,64,350,633,129,27,26,0
1059,258,244,109,375,694,135,43,26,1
997,244,258,89,349,638,154,26,43,0
1027,161,120,58,366,698,139,22,21,1
825,120,161,33,317,560,141,21,22,0
774,94,148,46,302,543,125,13,24,0
1127,148,94,68,413,708,111,24,13,1
1066,170,131,40,388,690,155,23,19,1
898,131,170,49,336,594,160,19,23,0
995,235,253,82,331,653,144,30,36,0
1080,253,235,96,368,739,135,36,30,1
945,225,234,102,357,627,130,35,35,0
971,234,226,88,360,639,149,34,34,1
1065,232,191,82,391,675,128,36,25,1
908,191,232,92,313,609,134,25,36,0
924,139,159,63,325,624,154,21,23,0
990,159,139,55,361,662,138,23,21,1
1031,164,133,65,389,691,165,26,18,1
878,133,164,55,348,580,126,18,26,0
1007,242,219,92,378,661,143,35,32,1
928,219,242,75,331,593,146,32,35,0
886,121,169,43,317,586,124,14,27,0
1126,169,121,90,425,748,122,27,14,1
1093,152,90,46,388,710,152,25,12,1
779,90,152,35,265,514,145,12,25,0
1040,245,216,96,363,689,121,36,32,0
938,216,245,87,333,623,151,32,36,1
927,107,151,49,326,607,117,13,22,0
1192,151,107,75,426,768,125,22,13,1
1168,154,102,63,395,778,156,20,16,1
841,102,154,35,306,548,156,16,20,0
973,167,180,56,369,627,127,29,20,0
1027,180,167,88,380,659,122,20,29,1
960,156,180,78,351,626,142,27,20,0
1048,180,156,68,392,714,130,20,27,1
942,247,289,97,346,621,132,36,40,0
1061,289,247,108,392,708,143,40,36,1
1026,164,170,99,372,682,126,22,25,0
1019,170,164,69,358,691,158,25,22,1
930,205,230,99,336,614,130,29,35,0
1029,230,205,82,366,675,144,35,29,1
1110,232,194,104,383,752,155,29,30,1
944,192,233,98,350,618,174,30,29,0
1030,171,159,62,385,702,162,21,26,1
963,158,171,59,341,630,143,26,21,0
1015,151,126,68,376,684,148,24,19,1
861,126,151,50,343,567,128,19,24,0
1169,146,89,49,419,763,148,23,11,1
805,89,146,54,334,540,114,11,23,0
1059,227,191,99,390,680,134,34,26,1
933,191,227,74,331,628,141,26,34,0
1044,153,126,55,343,683,148,17,23,1
922,126,153,39,334,625,162,23,17,0
906,128,155,42,334,597,170,17,24,0
1059,155,128,81,405,688,116,24,17,1
879,134,175,69,318,579,114,17,27,0
1105,175,134,75,379,706,151,27,17,1
957,207,215,88,338,635,115,28,33,1
1009,215,208,86,359,671,146,33,28,0
1011,267,263,121,379,697,140,41,34,1
1046,263,267,129,360,690,123,34,41,0
962,245,248,79,352,647,131,43,30,0
974,248,245,104,347,645,132,30,43,1
1026,179,166,63,363,683,144,28,21,1
994,165,179,83,352,664,121,21,28,0
819,117,146,41,319,534,122,17,23,0
978,146,118,53,361,627,112,24,18,1
1096,151,103,51,400,703,148,25,12,1
827,102,151,34,307,547,142,12,25,0
1101,182,151,98,391,710,165,28,19,1
881,151,182,49,318,597,176,19,28,0
936,143,160,58,341,626,112,21,22,0
994,160,143,80,378,666,144,22,21,1
948,257,319,115,322,640,153,40,40,0
1093,319,257,140,382,716,139,40,40,1
1199,144,103,62,-1,-1,-1,-1,-1,1
920,102,144,45,-1,-1,-1,-1,-1,0
1070,159,131,56,-1,-1,-1,-1,-1,1
921,130,160,58,-1,-1,-1,-1,-1,0
988,174,190,55,-1,-1,-1,-1,-1,0
1040,190,174,76,-1,-1,-1,-1,-1,1
1097,160,136,84,-1,-1,-1,-1,-1,1
962,136,160,54,-1,-1,-1,-1,-1,0
886,125,148,55,-1,-1,-1,-1,-1,0
995,148,125,62,-1,-1,-1,-1,-1,1
1031,173,171,71,-1,-1,-1,-1,-1,0
1026,171,173,70,-1,-1,-1,-1,-1,1
1046,168,154,53,-1,-1,-1,-1,-1,1
953,154,168,47,-1,-1,-1,-1,-1,0
1004,246,252,106,-1,-1,-1,-1,-1,0
1009,252,247,73,-1,-1,-1,-1,-1,1
1034,248,243,104,-1,-1,-1,-1,-1,0
1025,243,250,96,-1,-1,-1,-1,-1,1
1022,252,244,115,-1,-1,-1,-1,-1,0
1008,244,252,108,-1,-1,-1,-1,-1,1
1163,149,93,71,-1,-1,-1,-1,-1,1
824,93,149,38,-1,-1,-1,-1,-1,0
926,219,236,69,-1,-1,-1,-1,-1,1
1015,236,220,77,-1,-1,-1,-1,-1,0
975,153,162,52,-1,-1,-1,-1,-1,0
1043,162,153,73,-1,-1,-1,-1,-1,1
1090,284,246,122,-1,-1,-1,-1,-1,1
956,246,284,110,-1,-1,-1,-1,-1,0
1142,152,114,74,-1,-1,-1,-1,-1,1
913,114,152,39,-1,-1,-1,-1,-1,0
996,267,272,117,-1,-1,-1,-1,-1,0
997,272,267,112,-1,-1,-1,-1,-1,1
1073,164,125,61,-1,-1,-1,-1,-1,1
878,125,164,61,-1,-1,-1,-1,-1,0
1056,166,150,76,-1,-1,-1,-1,-1,1
953,150,166,63,-1,-1,-1,-1,-1,0
987,333,349,96,-1,-1,-1,-1,-1,0
1041,349,333,136,-1,-1,-1,-1,-1,1
1018,158,132,73,396,682,130,27,17,1
891,132,158,59,341,576,129,17,27,0
1021,240,228,102,382,662,127,32,36,1
951,228,240,95,369,630,125,36,32,0
960,154,148,97,372,613,140,22,24,1
972,148,154,79,364,631,124,24,22,0
994,218,220,110,354,663,132,32,30,1
1020,220,219,66,364,657,123,30,32,0
973,229,237,98,343,658,153,39,29,0
1015,237,229,96,359,661,141,29,39,1
942,147,157,59,332,637,134,25,21,0
975,157,147,58,347,653,148,21,25,1
1068,218,183,108,379,723,133,32,26,1
901,183,218,82,345,602,130,26,32,0
1063,173,153,77,382,704,117,25,21,1
963,153,173,69,358,637,132,21,25,0
1026,240,214,109,380,671,140,42,24,1
939,214,240,89,352,639,138,25,43,0
981,179,185,69,361,659,156,22,30,0
1018,185,179,75,346,666,156,30,22,1
964,159,171,80,365,637,129,26,22,0
1015,171,159,71,369,665,150,22,26,1
971,191,210,89,355,642,130,22,35,0
1045,209,191,105,387,676,107,35,22,1
1059,155,130,79,395,721,126,21,21,1
895,130,155,61,340,587,145,21,21,0
900,117,151,38,313,591,153,15,24,0
1105,151,117,73,392,716,128,24,15,1
950,241,263,79,349,641,166,37,36,0
1023,263,241,98,366,679,147,36,37,1
973,220,225,95,342,651,125,30,35,0
975,225,220,88,359,632,136,35,30,1
957,188,215,74,330,638,149,26,32,0
1021,215,188,87,382,659,135,32,26,1
944,214,242,92,349,603,145,24,43,0
1064,242,214,116,373,692,129,43,24,1
960,336,369,151,346,644,141,49,51,0
1067,369,336,179,382,689,115,51,49,1
1083,170,149,61,367,740,160,17,27,1
986,149,170,55,345,668,155,27,17,0
965,212,224,82,326,637,129,34,28,1
991,224,213,86,363,675,139,29,35,0
1024,236,223,102,362,692,143,40,24,1
981,222,237,86,343,635,153,25,41,0
1008,224,234,111,353,671,112,30,34,1
1026,232,224,120,384,649,132,34,30,0
1027,161,123,90,402,649,98,22,23,1
814,123,161,57,328,529,113,23,22,0
967,198,220,82,364,650,141,26,32,0
1061,220,198,69,374,690,151,32,26,1
868,128,166,38,296,599,173,22,20,0
1103,166,128,70,384,710,119,20,22,1
982,226,233,101,349,663,159,33,33,0
999,233,226,109,360,640,142,33,33,1
1126,135,79,45,416,784,153,22,9,1
778,79,135,28,259,540,150,9,22,0
1004,237,229,126,375,649,134,35,33,0
972,229,237,91,340,648,144,33,35,1
1073,169,143,70,395,731,117,27,16,1
963,143,169,71,343,655,160,16,27,0
1015,234,253,116,346,654,113,33,36,1
1024,253,234,103,367,699,130,36,33,0
997,194,175,79,367,669,123,29,25,1
940,175,194,97,357,608,126,25,29,0
1040,166,153,79,363,668,132,29,16,1
969,153,166,61,338,644,132,16,29,0
1106,306,255,159,388,701,124,44,35,1
925,255,306,111,310,599,139,35,44,0
971,376,400,151,345,644,122,45,64,0
1039,400,377,201,388,677,123,65,46,1
945,188,227,74,322,660,155,29,29,0
1095,227,188,80,375,724,149,29,29,1
922,132,161,62,332,593,120,23,19,0
1080,161,133,70,383,695,135,19,23,1
891,189,209,63,360,591,151,31,31,0
984,208,189,73,361,644,159,30,30,1
954,164,186,66,360,628,134,20,29,0
1067,186,164,76,400,683,141,29,20,1
1023,243,233,105,376,669,129,38,30,0
992,233,243,83,358,659,156,30,38,1
908,122,148,48,339,583,155,21,19,0
1022,148,122,58,412,696,130,19,21,1
1017,156,125,69,382,646,116,23,20,1
988,125,156,53,372,626,153,20,23,0
965,218,228,125,360,629,113,38,27,0
991,228,218,89,385,661,145,27,38,1
945,216,257,95,342,628,141,28,39,0
1065,257,216,105,397,715,145,39,28,1
826,169,229,67,314,547,132,23,36,0
1094,229,169,99,411,697,140,36,23,1
1012,211,219,99,346,675,131,32,28,1
1054,219,211,101,379,683,148,28,32,0
829,90,137,35,314,553,160,13,20,0
1113,137,90,38,422,735,138,20,13,1
984,143,116,62,393,635,157,25,15,1
818,116,144,39,310,516,144,16,26,0
969,210,208,76,367,630,153,28,34,0
942,208,210,52,335,648,164,34,28,1
1042,157,120,57,398,699,155,24,16,1
871,120,157,51,321,580,127,16,24,0
990,225,225,103,372,632,122,30,35,0
981,225,225,101,358,635,140,35,30,1
904,202,230,98,342,606,140,30,35,0
1002,230,203,112,387,661,144,35,30,1
1008,210,172,80,390,657,118,31,28,1
836,172,210,83,350,567,134,28,31,0
1016,148,119,59,361,657,135,24,16,1
875,119,148,25,312,570,172,16,24,0
1135,175,139,79,412,730,139,29,13,1
938,139,176,52,342,631,129,14,30,0
931,153,166,55,365,602,123,22,25,0
1210,166,153,70,436,808,176,25,22,1
1019,168,143,77,347,672,124,22,25,1
893,143,168,55,330,605,127,25,22,0
1126,219,171,97,393,732,128,28,26,1
906,171,219,75,341,589,151,26,28,0
954,117,152,55,333,654,155,19,18,0
1110,152,117,79,405,728,152,18,19,1
889,108,150,38,328,596,132,13,24,0
1096,149,108,52,419,706,132,24,13,1
1042,239,204,88,384,704,156,38,27,1
907,204,239,91,315,600,123,27,38,0
1031,252,234,115,381,687,136,43,26,1
983,234,252,116,354,643,155,26,43,0
937,233,252,96,352,625,134,33,38,0
1176,252,233,95,437,783,200,38,33,1
860,116,146,42,342,566,110,20,19,0
1077,146,116,56,369,701,158,19,20,1
982,221,226,88,356,659,154,32,31,0
971,226,221,76,352,646,172,31,32,1
970,148,172,58,344,654,122,22,22,0
1088,172,148,80,396,710,139,22,22,1
1116,215,168,93,405,718,136,33,22,1
1028,168,215,83,414,716,157,22,33,0
1003,221,214,104,369,660,150,37,26,0
946,214,221,78,348,599,128,26,37,1
920,194,233,85,338,608,152,24,37,0
1054,232,194,108,406,693,138,37,24,1
855,99,148,27,307,557,143,14,20,0
1178,148,99,62,403,763,182,20,14,1
1048,240,218,113,370,692,129,40,26,1
943,218,240,105,342,619,147,26,40,0
916,202,243,79,340,625,146,22,39,0
1122,243,202,114,395,735,141,39,22,1
1012,395,376,162,359,661,144,59,52,1
985,375,395,160,347,665,142,52,59,0
1063,147,115,79,419,697,143,20,18,1
869,115,148,53,322,577,147,19,21,0
883,127,154,52,348,581,142,19,23,0
1016,154,127,62,392,673,155,23,19,1
906,120,140,51,342,583,141,15,24,0
983,140,120,58,383,653,164,24,15,1
945,160,179,61,360,630,107,24,25,0
1060,179,160,65,377,697,174,25,24,1
932,126,150,45,339,593,137,17,22,0
1044,150,126,51,381,679,149,22,17,1
939,144,163,51,332,630,154,23,21,0
1053,163,144,80,392,683,127,21,23,1
902,196,230,77,337,611,132,28,37,0
1026,230,196,100,370,658,139,37,28,1
1060,255,241,127,379,693,104,30,38,1
1002,241,255,124,358,665,164,38,30,0
991,223,234,91,362,666,139,35,30,0
1027,234,223,108,368,683,151,30,35,1
1048,127,87,44,374,712,149,19,14,1
815,87,127,26,295,551,145,14,19,0
980,190,173,75,369,632,134,21,34,1
889,173,190,63,368,581,172,34,21,0
1139,158,111,51,393,734,135,19,19,1
865,111,158,34,300,583,120,19,19,0
